Run,Date,Start time,End/run time,Shifter,PDS expert,Active Endpoints,# triggers,type,Configuration,Issues/Comments,,,,,,,,,,,,,,,,,,,,,,
25144,25/04/2024,,,marroyav,,109,,,"test with TI command at 1000 Hz in ep 109. Biased. LED 365 nm, with 3.45 V in DCS and 50 DAC in conf, 1 tick width. 300 Hz daq rate","daphne integrators activated, offset at 8000",,,,,,,,,,,,,,,,,,,,,,
25145,25/04/2024,,,marroyav,,109,,,test with TI command at 1000 Hz in ep 109. Biased.  200 Hz daq rate,"daphne integrators activated, offset at 8000",,,,,,,,,,,,,,,,,,,,,,
25152,26/04/24,,,marroyav,,109,,,"Cosmics, 600 ADC Threshold, Only AFE 2, 10Hz",,,,,,,,,,,,,,,,,,,,,,,
25153,27/04/24,,,marroyav,,109,,,"Same, 200 Hz",,,,,,,,,,,,,,,,,,,,,,,
25155,28/04/24,,,marroyav,,"111,112,113",,,"LED Calibration 100Hz, 270nm 15V 1tick width",,,,,,,,,,,,,,,,,,,,,,,
25156,29/04/24,,,marroyav,,"111,112,113",,,"LED Calibration 100Hz, 270nm 10V 1 tick width",,,,,,,,,,,,,,,,,,,,,,,
25162,29/04/24,,,lperez,,"111,112,113",,,"Cosmics with APAs 3,4.  10Hz daq rate",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Purity (tau slow) combo,,,,,,,,,,,,,,,,,,,,,,,
25168,30/04/2024,,,marroyav,,"111,112,113",~10000,LED,"Calibration run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias = 10V + width=1tick + %=100 ADC; Threshold config_datamodes 9000",Preliminar visualization dont show light pulse (?),,,,,,,,,,,,,,,,,,,,,,
25169,30/04/2024,,,marroyav,,"111,112,113",~10000,LED,"Calibration run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias = 12V + width=1tick + %=100 ADC; Threshold config_datamodes 9000",Preliminar visualization dont show light pulse (?),,,,,,,,,,,,,,,,,,,,,,
25170,30/04/2024,,,marroyav,,"111,112,113",~4000,NOISE,"Random trigger run with APAs 3,4 (Noise characterization). 10Hz daq rate. LED -> DCS OFF; Threshold config_datamodes 9000",,,,,,,,,,,,,,,,,,,,,,,
25171,30/04/2024,,,marroyav,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600",,,,,,,,,,,,,,,,,,,,,,,
25172,30/04/2024,,,marroyav,,"111,112,113",,NOISE,"Random trigger run with APAs 3,4 (Noise characterization). 100Hz daq rate. LED -> DCS OFF; Threshold config_datamodes 9000",,,,,,,,,,,,,,,,,,,,,,,
25173,30/04/2024,,,marroyav,,"111,112,113",,LED,"Calibration run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias = 10V + width=1tick + %=100 ADC; Threshold config_datamodes 9000",Preliminar visualization dont show light pulse (?),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Purity (tau slow) combo,,,,,,,,,,,,,,,,,,,,,,,
25468,03/05/2024,,,lperez,,"111,112,113",,LED,"Calibration run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias = 10V + width=1tick + %=100 ADC; Threshold config_datamodes 9000",,,,,,,,,,,,,,,,,,,,,,,
25470,03/05/2024,,,lperez,,"111,112,113",,LED,"Calibration run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias = 12V + width=1tick + %=100 ADC; Threshold config_datamodes 9000",Preliminar visualization dont show light pulse (?),,,,,,,,,,,,,,,,,,,,,,
25472,03/05/2024,,,lperez,,"111,112,113",,NOISE,"Random trigger run with APAs 3,4 (Noise characterization). 100Hz daq rate. LED -> DCS OFF; Threshold config_datamodes 9000",,,,,,,,,,,,,,,,,,,,,,,
25474,03/05/2024,,,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600",,,,,,,,,,,,,,,,,,,,,,,
25480,03/05/2024,,,lperez,,"111,112,113",,LED,"Calibration run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias = 10V + width=1tick + %=100 ADC; Threshold config_datamodes 9000",,,,,,,,,,,,,,,,,,,,,,,
25484,03/05/2024,,,lperez,,"111,112,113",,LED,"Calibration run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias = 9.9V + width=1tick + %=100 ADC; Threshold config_datamodes 9000",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Automatize LED bias scanning test,,,,,,,,,,,,,,,,,,,,,,,
26046,06/05/2024,,60 s,lperez,,"111,112,113",,LED,Calibration Run. Bias DCS: 15V. Tests_270nm: SSP_config. Pulse_bias_percent_270nm: 0. 60s runtime,Tests with confing_ssp.json script to automatize changing ssp configuration in several runs,,,,,,,,,,,,,,,,,,,,,,
26047,06/05/2024,,60 s,lperez,,"111,112,113",,LED,Calibration Run. Bias DCS: 15V. Tests_270nm: SSP_config. Pulse_bias_percent_270nm: 10. 60s runtime,,,,,,,,,,,,,,,,,,,,,,,
26048,06/05/2024,,60 s,lperez,,"111,112,113",,LED,Calibration Run. Bias DCS: 15V. Tests_270nm: SSP_config. Pulse_bias_percent_270nm: 20. 60s runtime,,,,,,,,,,,,,,,,,,,,,,,
26049,06/05/2024,,60 s,lperez,,"111,112,113",,LED,Calibration Run. Bias DCS: 15V. Tests_270nm: SSP_config. Pulse_bias_percent_270nm: 30. 60s runtime,,,,,,,,,,,,,,,,,,,,,,,
26050,06/05/2024,,60 s,lperez,,"111,112,113",,LED,Calibration Run. Bias DCS: 15V. Tests_270nm: SSP_config. Pulse_bias_percent_270nm: 40. 60s runtime,,,,,,,,,,,,,,,,,,,,,,,
26051,06/05/2024,,60 s,lperez,,"111,112,113",,LED,Calibration Run. Bias DCS: 15V. Tests_270nm: SSP_config. Pulse_bias_percent_270nm: 50. 60s runtime,,,,,,,,,,,,,,,,,,,,,,,
26052,06/05/2024,,60 s,lperez,,"111,112,113",,LED,Calibration Run. Bias DCS: 15V. Tests_270nm: SSP_config. Pulse_bias_percent_270nm: 60. 60s runtime,,,,,,,,,,,,,,,,,,,,,,,
26053,06/05/2024,,60 s,lperez,,"111,112,113",,LED,Calibration Run. Bias DCS: 15V. Tests_270nm: SSP_config. Pulse_bias_percent_270nm: 70. 60s runtime,,,,,,,,,,,,,,,,,,,,,,,
26054,06/05/2024,,60 s,lperez,,"111,112,113",,LED,Calibration Run. Bias DCS: 15V. Tests_270nm: SSP_config. Pulse_bias_percent_270nm: 80. 60s runtime,,,,,,,,,,,,,,,,,,,,,,,
26055,06/05/2024,,60 s,lperez,,"111,112,113",,LED,Calibration Run. Bias DCS: 15V. Tests_270nm: SSP_config. Pulse_bias_percent_270nm: 90. 60s runtime,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Purity (tau slow) combo,,,,,,,,,,,,,,,,,,,,,,,
26067,07/05/2024,,120 s,lperez,,"111,112,113",,LED,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =DCS: 10.5V. 120s runtime",Empty,,,,,,,,,,,,,,,,,,,,,,
26074,07/05/2024,,600 s,lperez,,"111,112,113",,LED,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =10.5V. 600s runtime. Reconfigured analog chain",111 has no wafeforms. Faulty firmaware,,,,,,,,,,,,,,,,,,,,,,
26075,07/05/2024,,600 s,lperez,,"111,112,113",,LED,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =12V. 600s runtime.",111 has no wafeforms,,,,,,,,,,,,,,,,,,,,,,
26078,07/05/2024,,,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600",111 has no wafeforms,,,,,,,,,,,,,,,,,,,,,,
26079,07/05/2024,,,lperez,,"111,112,113",,NOISE,"Random trigger run with APAs 3,4 (Noise characterization). 100Hz daq rate. LED -> DCS OFF; Threshold config_datamodes 9000",111 has no wafeforms,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Purity (tau slow) combo,,,,,,,,,,,,,,,,,,,,,,,
26080,08/05/2024,10:00,600 s,acervera,,"111,112,113",,LED,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =DCS: 10.5V. 600s runtime. Self matching trigger in ep 111","Change in conf_datamodes to store all the channels: 0x6001,[0xffffffffff]",,,,,,,,,,,,,,,,,,,,,,
26081,08/05/2024,10:30,600 s,lperez,,"111,112,113",8500 wfs,LEDG,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =DCS: 12V. 600s runtime. Self matching trigger in ep 111",,,,,,,,,,,,,,,,,,,,,,,
26084,08/05/2024,10:45,600 s,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600. Register 6100 in ep 111 to 0x22B40001388.",,,,,,,,,,,,,,,,,,,,,,,
26085,08/05/2024,11:15,600 s,lperez,,"111,112,113",,,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =DCS: 12V. 600s runtime. Self matching trigger in ep 111. Register 6001 to [0xffff000000] and 6100 to [0x3FCE0000190]",,,,,,,,,,,,,,,,,,,,,,,
26089,08/05/2024,16:33,600 s,acervera,,"111,112,113",,,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =DCS: 12V. 600s runtime. Self matching trigger in ep 111. Register 6001 to [0x0F00000000] and 6100 to [0x3FCE000012C]. 0x7 trigger disabled in daphne firmware",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,APA (CE and bias) noise tests,,,,,,,,,,,,,,,,,,,,,,,
26097,09/05/2024,11:02,200 s,acervera,,all,,NOISE,"test run with all endpoints and no bias. 100 MHz daq rate, TI command at 1 kHz and no LED",test run,,,,,,,,,,,,,,,,,,,,,,
26099,09/05/2024,11:20,600 s,acervera,,all,,NOISE,"Noise tests with lower APA CE off. All endpoints. 100 MHz daq, 1 KHz TI command. LED off. BIAS off",,,,,,,,,,,,,,,,,,,,,,,
26100,09/05/2024,11:37,100 s,acervera,,all,,NOISE,"Noise tests with lower APA CE off. All endpoints. 100 MHz daq, 1 KHz TI command. LED off. BIAS ON, 1 V below Vbd for all AFEs",test run,,,,,,,,,,,,,,,,,,,,,,
26101,09/05/2024,11:43,600 s,acervera,,all,,NOISE,"Noise tests with lower APA CE off. All endpoints. 100 MHz daq, 1 KHz TI command. LED off. BIAS ON, 1 V below Vbd for all AFEs",,,,,,,,,,,,,,,,,,,,,,,
26102,09/05/2024,11:57,600 s,acervera,,all,,NOISE,"Noise tests with upper APA CE off. All endpoints. 100 MHz daq, 1 KHz TI command. LED off. BIAS ON, 1 V below Vbd for all AFEs",,,,,,,,,,,,,,,,,,,,,,,
26103,09/05/2024,12:11,600 s,acervera,,all,,NOISE,"Noise tests with upper APA CE off. All endpoints. 100 MHz daq, 1 KHz TI command. LED off. BIAS off",,,,,,,,,,,,,,,,,,,,,,,
26104,09/05/2024,12:31,600 s,acervera,,all,,NOISE,"Noise tests with upper & lower APA CE off. All endpoints. 100 MHz daq, 1 KHz TI command. LED off. BIAS ON, 1 V below Vbd for all AFEs",,,,,,,,,,,,,,,,,,,,,,,
26105,09/05/2024,12:48,600 s,acervera,,all,,NOISE,"Noise tests with upper & lower APA CE off. All endpoints. 100 MHz daq, 1 KHz TI command. LED off. BIAS off",,,,,,,,,,,,,,,,,,,,,,,
26130,10/05/2024,11:56,300 s,acervera,,all,,NOISE,"Noise tests with all CE ON. All endpoints. 100 MHz daq, 1 KHz TI command. LED off. BIAS ON, 1 V below Vbd for all AFEs",,,,,,,,,,,,,,,,,,,,,,,
26131,10/05/2024,12:04,300 s,acervera,,all,,NOISE,"Noise tests with all CE ON. All endpoints. 100 MHz daq, 1 KHz TI command. LED off. BIAS off",,,,,,,,,,,,,,,,,,,,,,,
26132,10/05/2024,12:31,300 s,acervera,,all,,NOISE,"Noise tests with all CE ON, APA bias ON. All endpoints. 100 MHz daq, 1 KHz TI command. LED off. BIAS off",,,,,,,,,,,,,,,,,,,,,,,
26135,10/05/2024,12:39,300 s,acervera,,all,,NOISE,"Noise tests with all CE ON, APA bias ON. All endpoints. 100 MHz daq, 1 KHz TI command. LED off. BIAS ON, 1 V below Vbd for all AFEs",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Ionization Laser  noise tests,,,,,,,,,,,,,,,,,,,,,,,
26106,09/05/2024,15:17,600 s,acervera,,all,,NOISE,"Noise tests with 5mW laser ON and APA CE off. All endpoints. 100 MHz daq, 1 KHz TI command. LED off. BIAS off. IoL LASER CONFIG: 5mW alignment laser ON in P2, 24VDC for motor drivers ON and enabled, laser stand for P2 grounded, motors in fixed position pointing at PIN diode module 4 located outside of the field cage",,,,,,,,,,,,,,,,,,,,,,,
26107,09/05/2024,16:11,600 s,acervera,,all,,NOISE,"Noise tests with 5mW laser ON and APA CE off. All endpoints. 100 MHz daq, 1 KHz TI command. LED off. BIAS ON, 1 V below Vbd for all AFEs. IoL LASER CONFIG: 5mW alignment laser ON in P2, 24VDC for motor drivers ON and enabled, laser stand for P2 grounded, motors in fixed position pointing at PIN diode module 4 located outside of the field cage",,,,,,,,,,,,,,,,,,,,,,,
26108,09/05/2024,18:21,600 s,acervera,,all,,NOISE,"Noise tests with 5mW laser ON and APA CE ON. All endpoints. 100 MHz daq, 1 KHz TI command. LED off. BIAS off. IoL LASER CONFIG: 5mW alignment laser ON in P2, 24VDC for motor drivers ON and enabled, laser stand for P2 grounded, motors moving and pulsing laser at 10Hz , 40 microseconds wide pulse",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Purity (tau slow) combo,,,,,,,,,,,,,,,,,,,,,,,
26110,09/05/2024,18:50,600 s,lperez,,all,,,"Calibration Run with ALL endpoints. 100Hz daq rate. LED -> DCS Bias =10.5V. 600s runtime. CE status: all APAs ON. 5mW alignment laser ON in P2, 24VDC for motor drivers ON and enabled, laser stand for P1 and P2 grounded, motors in fixed position pointing at PIN diode module 4 located outside of the field cage.",Bad run. Nanorc errors. dataflow1 dead,,,,,,,,,,,,,,,,,,,,,,
26112,09/05/2024,18:58,600 s,lperez,,all,,,"Calibration Run with ALL endpoints. 100Hz daq rate. LED -> DCS Bias =10.5V. 600s runtime. CE status: all APAs ON. 5mW alignment laser ON in P2, 24VDC for motor drivers ON and enabled, laser stand for P1 and P2 grounded, motors in fixed position pointing at PIN diode module 4 located outside of the field cage.",Bad run. Nanorc errors: aborting applications before exiting,,,,,,,,,,,,,,,,,,,,,,
26113,09/05/2024,20:14,600 s,lperez,,all,,LED,"Calibration Run with ALL endpoints. 100Hz daq rate. LED -> DCS Bias =10.5V. 600s runtime. CE status: all APAs ON. Laser off, 24V off, lights off inside the tents.","Bias from led for APA 1,2 off in the DCS",,,,,,,,,,,,,,,,,,,,,,
26114,09/05/2024,20:35,600 s,lperez,,"111,112,113",,LEDG,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =12V. 600s runtime.",,,,,,,,,,,,,,,,,,,,,,,
26116,09/05/2024,21:05,600 s,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600",,,,,,,,,,,,,,,,,,,,,,,
26117,09/05/2024,21:18,600 s,lperez,,"111,112,113",,NOISE,"Random trigger run with APAs 3,4 (Noise characterization). 100Hz daq rate. LED -> DCS OFF; Threshold config_datamodes 9000",,,,,,,,,,,,,,,,,,,,,,,
26118,09/05/2024,21:30,600 s,lperez,,"111,112,113",,LED,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =10.5V. 600s runtime.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,HV rump up purity combos,,,,,,,,,,,,,,,,,,,,,,,
26138,10/05/2024,12:52,600 s,lperez,,"111,112,113",,LED,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =10.5V. 600s runtime. First run before rump up starts",,,,,,,,,,,,,,,,,,,,,,,
26139,10/05/2024,13:03,600 s,lperez,,"111,112,113",,LEDG,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =12V. 600s runtime.  First run before rump up starts",,,,,,,,,,,,,,,,,,,,,,,
26140,10/05/2024,13:15,600 s,lperez,,"111,112,113",,NOISE,"Random trigger run with APAs 3,4 (Noise characterization). 100Hz daq rate. LED -> DCS OFF; Threshold config_datamodes 9000. First run before rump up starts",,,,,,,,,,,,,,,,,,,,,,,
26141,10/05/2024,13:27,600 s,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600. First run before rump up starts",,,,,,,,,,,,,,,,,,,,,,,
26145,10/05/2024,14:40,600 s,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600. Point at 20 kV",,,,,,,,,,,,,,,,,,,,,,,
26147,10/05/2024,14:51,600 s,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600. Point at 40 kV",DAQ trigger rate problems in the first part of the run,,,,,,,,,,,,,,,,,,,,,,
26149,10/05/2024,15:05,600 s,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600. Point at 60 kV",,,,,,,,,,,,,,,,,,,,,,,
26152,10/05/2024,15:16,600 s,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600. Point at 80 kV",DAQ trigger rate problems in all run (70 Hz instead of 100),,,,,,,,,,,,,,,,,,,,,,
26154,10/05/2024,15:30,600 s,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600. Point at 100 kV",DAQ trigger rate problems in all run (60 Hz instead of 100),,,,,,,,,,,,,,,,,,,,,,
26155,10/05/2024,15:44,600 s,lperez,,"111,112,113",,LED,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =10.5V. 600s runtime. Middle of rump up (100kV)",,,,,,,,,,,,,,,,,,,,,,,
26156,10/05/2024,15:55,300 s,lperez,,"111,112,113",,LEDG,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =12V. 300s runtime.  Middle of rump up (100kV)",,,,,,,,,,,,,,,,,,,,,,,
26159,10/05/2024,16:02,300 s,lperez,,"111,112,113",,NOISE,"Random trigger run with APAs 3,4 (Noise characterization). 100Hz daq rate. LED -> DCS OFF; Threshold config_datamodes 9000. Middle of rump up (100kV)",,,,,,,,,,,,,,,,,,,,,,,
26161,10/05/2024,16:21,600 s,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600. Point at 120 kV",DAQ trigger rate problems in all run (55 Hz instead of 100),,,,,,,,,,,,,,,,,,,,,,
26163,10/05/2024,16:36,600 s,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600. Point at 140 kV",DAQ trigger rate problems in all run (50 Hz instead of 100),,,,,,,,,,,,,,,,,,,,,,
26165,10/05/2024,16:49,600 s,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600. Point at 160 kV",DAQ trigger rate problems in all run (45 Hz instead of 100),,,,,,,,,,,,,,,,,,,,,,
26167,10/05/2024,17:02,600 s,lperez,,"111,112,113",,COSMIC,"Cosmics with APAs 3,4.  100Hz daq rate. Threshold config_datamodes 600. Point at 180 kV",DAQ trigger rate problems in all run (40 Hz instead of 100). APA x-channel wires bias OFF,,,,,,,,,,,,,,,,,,,,,,
26168,10/05/2024,17:24,600 s,marroyav,,"111,112,113",,,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =10.5V. 600s runtime. End of rump up (180kV)",BAD RUN. run_cosmic executed by mistake,,,,,,,,,,,,,,,,,,,,,,
26169,10/05/2024,17:36,600 s,marroyav,,"111,112,113",,LED,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =10.5V. 600s runtime. End of rump up (180kV)",Ok,,,,,,,,,,,,,,,,,,,,,,
26170,10/05/2024,17:49,600 s,marroyav,,"111,112,113",,LED,"Calibration Run with APAs 3,4. 100Hz daq rate. LED -> DCS Bias =12V. 300s runtime.  End of rump up (180kV)",Ok,,,,,,,,,,,,,,,,,,,,,,
26171,10/05/2024,18:01,600 s,marroyav,,"111,112,113",,NOISE,"Random trigger run with APAs 3,4 (Noise characterization). 100Hz daq rate. LED -> DCS OFF; Threshold config_datamodes 9000. End of rump up (180kV)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Automatize LED bias scanning test (smaller range),,,,,,,,,,,,,,,,,,,,,,,
26188,13/05/2024,11:30,90 s,lperez,,"111,112,113",,,Calibration Run. Bias DCS:15V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 100,,,,,,,,,,,,,,,,,,,,,,,
26189,13/05/2024,11:32,90 s,lperez,,"111,112,113",,,Calibration Run. Bias DCS:15V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 97,,,,,,,,,,,,,,,,,,,,,,,
26190,13/05/2024,11:34,90 s,lperez,,"111,112,113",,,Calibration Run. Bias DCS:15V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 94,,,,,,,,,,,,,,,,,,,,,,,
26191,13/05/2024,11:36,90 s,lperez,,"111,112,113",,,Calibration Run. Bias DCS:15V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 91,,,,,,,,,,,,,,,,,,,,,,,
26192,13/05/2024,11:38,90 s,lperez,,"111,112,113",,,Calibration Run. Bias DCS:15V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 88,,,,,,,,,,,,,,,,,,,,,,,
26193,13/05/2024,11:40,90 s,lperez,,"111,112,113",,,Calibration Run. Bias DCS:15V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 85,,,,,,,,,,,,,,,,,,,,,,,
26194,13/05/2024,11:42,90 s,lperez,,"111,112,113",,,Calibration Run. Bias DCS:15V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 82,,,,,,,,,,,,,,,,,,,,,,,
26195,13/05/2024,11:44,90 s,lperez,,"111,112,113",,,Calibration Run. Bias DCS:15V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 79,,,,,,,,,,,,,,,,,,,,,,,
26196,13/05/2024,11:46,90 s,lperez,,"111,112,113",,,Calibration Run. Bias DCS:15V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 76,,,,,,,,,,,,,,,,,,,,,,,
26197,13/05/2024,11:48,90 s,lperez,,"111,112,113",,,Calibration Run. Bias DCS:15V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 73,,,,,,,,,,,,,,,,,,,,,,,
26198,13/05/2024,11:50,90 s,lperez,,"111,112,113",,,Calibration Run. Bias DCS:15V. Tests 270nm:SSP_config. Pulse_bias_percent_270nm: 70,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Selt trigger test,,,,,,,,,,,,,,,,,,,,,,,
